-0.41,0.1,-1
0.43,-0.43,-1
-0.36,0.59,1
0.17,-0.93,1
0.08,-0.08,1
0.6,0.53,1
-0.96,0.83,1
-0.74,-0.46,1
-0.64,0.8,-1
0.31,-0.81,1
-0.96,-0.57,-1
-0.95,-0.21,1
0.51,-0.84,1
0.37,0.09,1
0.05,-0.65,1
-0.68,0.63,1
-0.5,-0.09,1
-0.69,0.48,1
0.24,-0.06,1
-0.67,-0.62,-1
0.99,0.45,-1
-0.61,-0.06,1
0.11,-0.59,1
0.29,0.01,1
0.99,0.17,1
0.51,-0.07,1
-0.61,0.64,1
0.18,0.21,1
0.21,-0.38,-1
-0.09,0.6,1
0.48,0.1,1
0.25,-0.49,1
-0.22,0.85,-1
0.1,0.65,1
-0.57,-0.67,1
-0.3,-0.5,1
0.32,0.73,-1
0.6,0.96,-1
0.79,0.17,1
0.76,0.67,-1
-0.2,0.29,-1
0.32,0.59,1
-0.49,0.04,1
-0.2,0.3,-1
0.98,0.31,1
1,-0.63,-1
0.12,-0.17,1
0.88,-0.9,1
-0.08,-0.42,1
-0.31,0.37,1
-1,0.62,1
-0.3,0.09,1
-0.39,0.95,-1
0.58,0.49,1
-0.58,-0.48,1
0.33,0.43,1
0.39,0.12,1
0.55,-0.65,1
0.09,-0.85,1
0.09,-0.46,1
-0.73,-0.74,1
0.7,0.55,1
0.69,-0.76,1
0.47,0.44,1
-0.37,-0.96,1
-0.15,-0.35,-1
-0.1,0.19,1
0.91,1,1
0.48,0.98,-1
-0.5,0.49,1
0.68,-0.26,1
0.67,0.3,-1
-0.89,-0.2,1
0.31,-0.98,1
-0.85,0.82,1
0.61,0.42,-1
0.27,0.51,-1
-0.75,-0.08,-1
-0.35,0.19,1
0.48,0.38,-1
0.3,-0.82,-1
0.15,0.04,1
-0.24,-0.12,-1
-1,0.45,1
-0.68,-0.54,1
-0.12,0.97,1
0.04,-0.51,1
0.1,-0.3,-1
0.94,0.84,1
0.24,0.93,-1
-0.08,0.07,1
-0.63,0.11,1
-0.43,0.79,-1
-0.41,-0.26,1
-0.78,0.41,1
0.09,-0.98,1
-0.85,0.11,1
0.58,0.87,1
-0.99,-0.01,1
-0.83,0.01,1
-0.03,0.53,1
0.94,-0.33,1
0.22,0.55,1
0.87,0.91,1
0.66,-0.89,1
0.65,0.05,1
-0.45,0.15,-1
0.63,1,1
0.43,0.39,1
0.88,-0.26,1
-0.98,-0.16,1
0.83,0.91,1
-0.28,-0.48,1
0.56,0.27,-1
-0.75,0.3,1
-0.85,0.77,1
-0.44,0.21,-1
0.55,-0.16,1
0.69,-0.44,-1
-0.18,0.09,1
-0.33,-0.33,-1
0.28,-0.06,1
-0.58,-0.82,1
0.71,-0.7,-1
0.04,-0.84,1
-0.39,-0.17,1
0.26,0.6,1
-0.01,-0.36,1
0.23,-0.53,1
0.67,-0.34,1
0.64,-0.07,1
-0.94,0.15,1
0.65,-0.43,1
-0.43,-0.51,1
-0.24,-0.65,-1
-0.14,-0.72,-1
0.85,-0.78,-1
0.23,-0.47,-1
-0.85,-0.03,1
0.62,0.07,1
0.85,-0.02,1
-0.75,0.56,-1
-0.24,-0.41,1
-0.78,0.87,1
-0.26,0.27,1
-0.69,-0.87,1
0.47,0.97,1
0.58,0.47,1
-0.84,0.57,1
0.06,-0.77,1
-0.46,-0.86,1
-0.78,0.57,-1
0.22,0.77,-1
0.18,-0.44,1
0.17,0.95,1
-0.29,0.94,1
-0.3,-0.51,1
-0.58,-0.16,-1
-0.38,-0.69,1
0.82,-0.22,-1
0.95,-0.05,1
0.68,-0.29,1
-0.38,0.65,1
-0.7,0.73,-1
-0.21,0.19,1
0.54,-0.62,-1
-0.71,0.06,1
0.06,-0.05,1
0.09,0.33,-1
0.19,-0.36,1
0.39,-0.27,-1
0.02,0.03,-1
-0.69,-0.9,-1
-0.28,0.66,1
0.59,0.07,1
-0.86,-0.62,-1
0.06,0.28,1
0.39,0.17,-1
-0.7,-0.56,1
0.38,-0.65,-1
-0.34,0.89,1
0.08,0.44,1
-0.81,-0.62,-1
0.38,0.4,-1
0.15,-0.4,-1
0.65,0.42,1
0.12,0.54,1
0.3,-0.62,-1
0.13,-0.71,1
0.56,0.75,1
0.18,-0.98,1
-0.79,0.85,1
-0.08,0.9,1
0.11,1,1
0.93,-0.63,1
0.98,0.36,-1
1,-0.17,1
0.76,0.62,-1
0.43,-0.88,-1
-0.37,-0.07,-1
-0.15,0.03,1
-0.18,0.43,1
0.48,0.15,1
0.19,0.49,-1
0.88,0.02,-1
-0.43,0.33,1
0.41,0.56,1
-0.22,0.44,1
-0.3,0.64,1
0.88,0.46,1
-0.21,0.52,-1
-0.3,0.31,1
-0.19,0.09,1
-0.12,-0.2,1
0.94,-0.54,-1
-0.21,-0.62,1
-0.3,0.08,-1
-0.97,0.33,-1
0.87,-0.8,-1
-0.86,-0.2,1
-0.99,0.9,-1
0.89,-0.99,1
0.37,-0.34,1
-0.88,-0.3,1
-0.33,-0.94,1
-0.58,-0.77,1
0.53,-0.59,-1
0.87,-0.58,1
-0.09,0.65,1
-0.6,-0.55,-1
-0.95,-0.67,-1
0.03,0.27,-1
0.87,0.44,1
0.73,-0.36,1
-0.47,0.16,-1
-0.41,0.94,1
0.02,-0.89,1
0.74,0.82,1
0.12,-0.83,1
0.01,-0.64,1
-0.5,0.75,-1
0.57,-0.81,-1
0.17,-0.31,1
-0.94,0.7,1
0.94,-0.1,1
0.27,-0.02,-1
0.31,-0.56,1
0.67,-0.87,1
-0.63,0.38,1
0.21,0.45,-1
0.4,-0.16,-1
0.94,0.34,1
0.11,-0.87,1
-0.07,-0.85,1
0.08,0.6,1
0.94,0.97,1
-0.22,-0.6,1
0.24,-0.86,1
0.83,0.01,1
0.02,-0.22,1
-0.62,0.67,1
0.84,0.43,1
-0.62,0.74,1
0.04,0.2,1
-0.37,0.22,-1
-0.41,-0.17,-1
-0.97,-0.21,1
-0.76,-0.67,1
-0.69,-0.38,-1
0.76,0.75,-1
-0.12,0.22,1
-0.66,0.62,-1
-0.55,0.09,1
-0.48,-0.87,-1
0.33,0.46,1
0.37,-0.67,1
0.52,0.07,1
-0.18,-0.37,-1
0.22,0.28,-1
-0.73,-0.55,1
-0.17,0.77,1
0.01,-0.34,1
0.98,0.88,-1
0.71,0.58,-1
0.19,-0.93,1
-0.56,-0.28,-1
0.17,0.3,-1
0.5,0.27,-1
0.82,0.57,1
-0.47,-0.34,1
0.43,0.11,1
-0.76,-0.28,1
-0.49,0.34,1
-0.75,-0.91,1
-0.66,-0.5,-1
0.01,-0.19,-1
0.57,0.19,-1
-0.01,0.38,-1
0.67,0.92,1
-0.27,0.83,-1
-0.42,0.15,1
0.39,0.76,1
0.18,0.39,-1
-0.57,-0.51,1
0.27,1,1
-0.32,-0.59,1
0.09,-0.2,-1
0.8,0.03,1
0.82,-0.67,-1
0.45,0.29,1
-0.3,-0.27,1
0.46,0.58,1
-0.38,0.64,-1
-0.82,0.5,1
0,0.98,1
0.11,0.81,-1
0.14,-0.21,1
0.46,0.72,1
-0.01,0.27,-1
-0.97,-0.41,1
0.46,-0.36,1
-0.57,-0.51,1
-0.07,-0.12,-1
0.04,0.37,1
-0.13,-0.35,1
0,0.76,-1
0.58,-1,-1
-0.47,0.13,1
0.29,-0.31,1
-0.47,0.37,1
0.79,0.42,1
-0.24,-0.16,1
0.78,1,-1
0.65,-0.13,-1
0.15,-0.66,-1
-0.01,-0.46,-1
-0.72,0.92,1
0.96,0.11,-1
-0.08,-0.99,1
-0.75,-0.37,-1
0.1,-0.95,-1
0.39,-0.06,1
0.12,-0.29,1
0.23,0.01,1
-0.17,0.44,1
0.14,0.35,-1
0.07,0.04,1
-0.39,-0.31,1
-0.18,0.93,1
0.47,0.77,1
-0.07,0.47,1
-0.96,0.47,-1
0.05,-0.93,-1
0.47,0.78,-1
0.47,0.52,1
0.19,-0.64,1
0.41,0.7,1
0.72,0.36,1
0.79,-0.56,1
0.24,0.16,1
-0.17,-0.74,1
0.1,0.41,-1
-0.73,-0.29,1
0.96,-0.7,-1
-0.61,0.08,1
0.27,-0.46,1
0.01,-0.41,1
0.97,0.59,-1
0.15,-0.23,-1
0.1,0.38,-1
1,0.23,1
0.38,0.11,-1
-0.41,-0.57,1
0.78,-0.29,1
0.29,-0.45,1
-0.53,0.54,1
0.99,0.55,-1
0.95,-0.7,1
-0.54,-0.64,1
0.59,-0.86,-1
0.72,0.6,1
0.13,-0.17,1
-0.63,-0.94,1
0.25,-0.69,1
1,0.15,1
-0.45,-0.47,1
-0.62,-0.65,-1
-0.48,0.31,-1
0.82,0.51,1
-0.42,0.07,-1
-0.92,0.79,-1
